arch_name,hidden_layers,test_acc,test_auc_macro_ovr,best_val_auc
large,"[512, 256, 128, 64]",0.9933866666666666,0.9999514118271605,0.9999555604083898
medium,"[256, 128, 64]",0.9908666666666667,0.9999009069876543,0.9999101693878423
small,"[128, 64]",0.9899533333333334,0.9998617355308642,0.999864985501303
tiny,[64],0.97816,0.9994004253333333,0.9994550883848093
