per_class_cap,mlp_test_acc,mlp_test_auc_macro_ovr,mlp_best_val_auc,baseline_test_acc,baseline_test_auc_macro_ovr,delta_auc_vs_baseline
10000,0.41273333333333334,0.835099562962963,0.8355078166517151,0.1,0.5,0.33509956296296295
100000,0.41904,0.8407494065185185,0.8411097869024735,0.1,0.5,0.3407494065185185
1000000,0.41992666666666667,0.8409996346666666,0.8412779982399933,0.1,0.5,0.3409996346666666
5000000,0.4184866666666667,0.8400375240987653,0.8404362011192277,0.1,0.5,0.3400375240987653
