arch_name,hidden_layers,test_loss,test_acc,test_auc_macro_ovr,best_val_auc,delta_auc_vs_baseline,delta_acc_vs_baseline
medium,"[256, 128, 64]",1.601641760559082,0.41956666666666664,0.841020718271605,0.8414894723567858,0.34102071827160496,0.31956666666666667
large,"[512, 256, 128, 64]",1.602330143547058,0.41878,0.8408807420740739,0.8413262090307146,0.34088074207407393,0.31877999999999995
small,"[128, 64]",1.6141588338470458,0.41668,0.8384754068395062,0.8388553589132384,0.33847540683950617,0.31667999999999996
tiny,[64],1.6530706990305584,0.40864666666666666,0.8306136167654321,0.8312630954931863,0.3306136167654321,0.3086466666666666
