train_size,n_seeds,test_acc_mean,test_acc_std,test_auc_mean,test_auc_std,test_loss_mean,epochs_mean
10000,3,0.70272175,0.006083124849121573,0.9391649433118784,0.0015420683878317144,1.911642186147054,50
30000,3,0.7256970333333334,0.0008302390985935009,0.9528905834032153,5.237425245500554e-05,0.8348002398676555,50
100000,3,0.7530089333333333,0.00048071689780302405,0.9635891992545506,0.00012722220204616148,0.6815529907277426,50
300000,3,0.7759235,0.0005119960668794082,0.9703559541997447,0.0001586048395990444,0.6181132546340943,50
1000000,3,0.7898041333333333,0.0004578255462873422,0.9737377339153437,0.00012119031043615195,0.5814492973353068,50
3000000,3,0.8097995666666666,2.9909878524201416e-05,0.9781900626796792,1.093240859253671e-05,0.5262037076894125,194.66666666666666
10000000,3,0.81240455,1.7579320237141674e-05,0.9787687967777818,6.835841993331888e-06,0.5188661728571574,193.66666666666666
30000000,3,0.8138826166666666,0.00010498757466164674,0.9790935918930611,1.8338490455870378e-05,0.5147457258183797,165
