strategy,architecture,train_size,seed,num_epochs,best_val_loss,best_val_acc,val_auc_macro,test_loss,test_acc,test_auc_macro,total_params,trainable_params,batch_size,lr,wall_clock_seconds
frozen,base,10000,42,50,1.9233588677978515,0.69927,0.9379637499444445,1.9240479977416993,0.69570015,0.9375769305119069,35594,35594,4096,0.001,5442.679284572601
frozen,base,10000,123,50,1.9042007312774658,0.70939,0.9393188395,1.9048037436157226,0.70639765,0.9392613564040587,35594,35594,4096,0.001,5678.997985839844
frozen,base,10000,456,50,1.9053893353271485,0.70794,0.9408732217222221,1.9060748170837403,0.70606745,0.9406565430196696,35594,35594,4096,0.001,5444.561073064804
frozen,base,30000,42,50,0.8355201544189453,0.72783,0.9530171282222222,0.8382012289733887,0.72474195,0.9528396082575273,35594,35594,4096,0.001,6655.451477050781
frozen,base,30000,123,50,0.827308462677002,0.72951,0.9530843381111112,0.8299837207397461,0.72610275,0.9528878891874044,35594,35594,4096,0.001,6671.7077293396
frozen,base,30000,456,50,0.8337120028305054,0.72918,0.9531193463888888,0.8362157698898316,0.7262464,0.9529442527647142,35594,35594,4096,0.001,6672.921169281006
frozen,base,100000,42,50,0.6775728322219848,0.75629,0.9639690868333334,0.680731949572754,0.7532504,0.9637344287149974,35594,35594,4096,0.001,10650.702327489853
frozen,base,100000,123,50,0.6788257075500488,0.75617,0.9637199356111111,0.6815030035644531,0.75332105,0.9635357363273028,35594,35594,4096,0.001,10568.052817821503
frozen,base,100000,456,50,0.6794636137390136,0.75447,0.9637008800555555,0.6824240190460205,0.75245535,0.9634974327213515,35594,35594,4096,0.001,10073.260306596756
frozen,base,300000,42,50,0.6150759782791138,0.77832,0.9706408043333333,0.6186986724960327,0.7757889,0.9703270464447957,35594,35594,4096,0.001,20729.23020863533
frozen,base,300000,123,50,0.6154025041198731,0.77798,0.9705452713888889,0.6192260491546631,0.77549225,0.9702137915026746,35594,35594,4096,0.001,20658.957401275635
frozen,base,300000,456,50,0.6122745044708252,0.7791,0.9708868932222222,0.6164150422515869,0.77648935,0.9705270246517639,35594,35594,4096,0.001,20541.326076984406
frozen,base,1000000,42,50,0.5794017026138306,0.79102,0.973881935611111,0.5828241097076416,0.7893459,0.9736270105239793,35594,35594,8192,0.001,32144.80246448517
frozen,base,1000000,123,50,0.5763781844329834,0.79175,0.974117888722222,0.5798977885345459,0.79026155,0.9738672059294518,35594,35594,8192,0.001,33078.02740526199
frozen,base,1000000,456,50,0.5780725326156616,0.79175,0.9739934592222224,0.5816259937637329,0.78980495,0.9737189852926,35594,35594,8192,0.001,33575.69226169586
frozen,base,3000000,42,194,0.5234591022872925,0.81137,0.9783711566111112,0.5261603061508179,0.80981785,0.9781902973960668,35594,35594,8192,0.001,6229.1324870586395
frozen,base,3000000,123,200,0.5238592152786254,0.81138,0.9783406023888889,0.5260954674423218,0.8098158,0.9782008758401739,35594,35594,8192,0.001,6452.777515411377
frozen,base,3000000,456,190,0.5241870529174805,0.811,0.9783330217777777,0.5263553494750977,0.80976505,0.9781790148027971,35594,35594,8192,0.001,6161.433441877365
frozen,base,10000000,42,197,0.5169320231628418,0.81386,0.9789021089444445,0.5189092731323243,0.81239235,0.9787721912802999,35594,35594,16384,0.001,25141.290996074677
frozen,base,10000000,123,194,0.5164205739974975,0.81412,0.9789354829444445,0.5187741662948608,0.8124247,0.9787732709728889,35594,35594,16384,0.001,23581.629269599915
frozen,base,10000000,456,190,0.5170486422729492,0.81348,0.978900829277778,0.5189150791442871,0.8123966,0.9787609280801568,35594,35594,16384,0.001,22786.486659288406
frozen,base,30000000,42,136,0.5124680907058716,0.81575,0.979249993,0.5149894108520507,0.8138301,0.9790743867371848,35594,35594,16384,0.001,40710.64180350304
frozen,base,30000000,123,180,0.5125630658721924,0.81535,0.9792546149444444,0.5144939079223633,0.8140035,0.9791109192184402,35594,35594,16384,0.001,55032.93962049484
frozen,base,30000000,456,179,0.5129227810287476,0.81509,0.9792211066111112,0.5147538586807251,0.81381425,0.9790954697235582,35594,35594,16384,0.001,54768.68450713158
